case,variant,estimator,before,after,reference_kind,shift_s,Ncommon_output,Nadded_output,Nlost_output,scope,version,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
data1,fusion,offline_ridge,bounded_tracking_gap10,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,37,0,0,common_before,bounded_tracking_gap10,42,37,42,37,88.0952380952381,88.0952380952381,30.008599508599506,33.78055987029775,-30.008599508599506,15.725577789491306,-60.83073197600247,0.813532958803453,51.7,54.3,0,8,0.0,21.62162162162162,0.0,19.047619047619047
data1,fusion,offline_ridge,bounded_tracking_gap10,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,37,0,0,common_after,guarded_fusion_gap10,42,37,42,37,88.0952380952381,88.0952380952381,11.332923832923832,11.818298147225622,-11.332923832923832,3.3984036868349055,-17.993795059120245,-4.6720526067274175,18.500000000000004,19.299999999999997,0,13,0.0,35.13513513513514,0.0,30.952380952380953
data1,fusion,offline_ridge,bounded_tracking_gap10,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,37,0,0,added_after,guarded_fusion_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,bounded_tracking_gap10,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,37,0,0,lost_before,bounded_tracking_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,local_peak,bounded_tracking_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,common_before,bounded_tracking_gap10,42,37,42,37,88.0952380952381,88.0952380952381,47.82383292383293,51.437268242171555,-21.143734643734643,47.53746967530528,-114.317175207333,72.0297059198637,82.79636363636364,83.8,1,2,2.7027027027027026,5.405405405405405,2.380952380952381,4.761904761904762
data1,fusion,local_peak,bounded_tracking_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,common_after,guarded_fusion_gap15,42,37,42,37,88.0952380952381,88.0952380952381,21.375184275184274,32.27312700032756,0.7751842751842741,32.708855062333576,-63.33417164698953,64.88454019735808,81.9,83.18181818181819,0,9,0.0,24.324324324324323,0.0,21.428571428571427
data1,fusion,local_peak,bounded_tracking_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,added_after,guarded_fusion_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,local_peak,bounded_tracking_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,lost_before,bounded_tracking_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,bounded_tracking_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,common_before,bounded_tracking_gap10,42,37,42,37,88.0952380952381,88.0952380952381,30.008599508599506,33.78055987029775,-30.008599508599506,15.725577789491306,-60.83073197600247,0.813532958803453,51.7,54.3,0,8,0.0,21.62162162162162,0.0,19.047619047619047
data1,fusion,offline_ridge,bounded_tracking_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,common_after,guarded_fusion_gap15,42,37,42,37,88.0952380952381,88.0952380952381,11.332923832923832,11.818298147225622,-11.332923832923832,3.3984036868349055,-17.993795059120245,-4.6720526067274175,18.500000000000004,19.299999999999997,0,13,0.0,35.13513513513514,0.0,30.952380952380953
data1,fusion,offline_ridge,bounded_tracking_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,added_after,guarded_fusion_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,bounded_tracking_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,lost_before,bounded_tracking_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,local_peak,bounded_tracking_gap15,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,37,0,0,common_before,bounded_tracking_gap15,42,37,42,37,88.0952380952381,88.0952380952381,47.82383292383293,51.437268242171555,-21.143734643734643,47.53746967530528,-114.317175207333,72.0297059198637,82.79636363636364,83.8,1,2,2.7027027027027026,5.405405405405405,2.380952380952381,4.761904761904762
data1,fusion,local_peak,bounded_tracking_gap15,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,37,0,0,common_after,guarded_fusion_gap10,42,37,42,37,88.0952380952381,88.0952380952381,21.375184275184274,32.27312700032756,0.7751842751842741,32.708855062333576,-63.33417164698953,64.88454019735808,81.9,83.18181818181819,0,9,0.0,24.324324324324323,0.0,21.428571428571427
data1,fusion,local_peak,bounded_tracking_gap15,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,37,0,0,added_after,guarded_fusion_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,local_peak,bounded_tracking_gap15,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,37,0,0,lost_before,bounded_tracking_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,bounded_tracking_gap15,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,37,0,0,common_before,bounded_tracking_gap15,42,37,42,37,88.0952380952381,88.0952380952381,30.008599508599506,33.78055987029775,-30.008599508599506,15.725577789491306,-60.83073197600247,0.813532958803453,51.7,54.3,0,8,0.0,21.62162162162162,0.0,19.047619047619047
data1,fusion,offline_ridge,bounded_tracking_gap15,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,37,0,0,common_after,guarded_fusion_gap10,42,37,42,37,88.0952380952381,88.0952380952381,11.332923832923832,11.818298147225622,-11.332923832923832,3.3984036868349055,-17.993795059120245,-4.6720526067274175,18.500000000000004,19.299999999999997,0,13,0.0,35.13513513513514,0.0,30.952380952380953
data1,fusion,offline_ridge,bounded_tracking_gap15,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,37,0,0,added_after,guarded_fusion_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,bounded_tracking_gap15,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,37,0,0,lost_before,bounded_tracking_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,local_peak,bounded_tracking_gap15,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,common_before,bounded_tracking_gap15,42,37,42,37,88.0952380952381,88.0952380952381,47.82383292383293,51.437268242171555,-21.143734643734643,47.53746967530528,-114.317175207333,72.0297059198637,82.79636363636364,83.8,1,2,2.7027027027027026,5.405405405405405,2.380952380952381,4.761904761904762
data1,fusion,local_peak,bounded_tracking_gap15,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,common_after,guarded_fusion_gap15,42,37,42,37,88.0952380952381,88.0952380952381,21.375184275184274,32.27312700032756,0.7751842751842741,32.708855062333576,-63.33417164698953,64.88454019735808,81.9,83.18181818181819,0,9,0.0,24.324324324324323,0.0,21.428571428571427
data1,fusion,local_peak,bounded_tracking_gap15,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,added_after,guarded_fusion_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,local_peak,bounded_tracking_gap15,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,lost_before,bounded_tracking_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,bounded_tracking_gap15,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,common_before,bounded_tracking_gap15,42,37,42,37,88.0952380952381,88.0952380952381,30.008599508599506,33.78055987029775,-30.008599508599506,15.725577789491306,-60.83073197600247,0.813532958803453,51.7,54.3,0,8,0.0,21.62162162162162,0.0,19.047619047619047
data1,fusion,offline_ridge,bounded_tracking_gap15,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,common_after,guarded_fusion_gap15,42,37,42,37,88.0952380952381,88.0952380952381,11.332923832923832,11.818298147225622,-11.332923832923832,3.3984036868349055,-17.993795059120245,-4.6720526067274175,18.500000000000004,19.299999999999997,0,13,0.0,35.13513513513514,0.0,30.952380952380953
data1,fusion,offline_ridge,bounded_tracking_gap15,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,added_after,guarded_fusion_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,bounded_tracking_gap15,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,lost_before,bounded_tracking_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,local_peak,guarded_fusion_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,common_before,guarded_fusion_gap10,42,37,42,37,88.0952380952381,88.0952380952381,21.375184275184274,32.27312700032756,0.7751842751842741,32.708855062333576,-63.33417164698953,64.88454019735808,81.9,83.18181818181819,0,9,0.0,24.324324324324323,0.0,21.428571428571427
data1,fusion,local_peak,guarded_fusion_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,common_after,guarded_fusion_gap15,42,37,42,37,88.0952380952381,88.0952380952381,21.375184275184274,32.27312700032756,0.7751842751842741,32.708855062333576,-63.33417164698953,64.88454019735808,81.9,83.18181818181819,0,9,0.0,24.324324324324323,0.0,21.428571428571427
data1,fusion,local_peak,guarded_fusion_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,added_after,guarded_fusion_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,local_peak,guarded_fusion_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,lost_before,guarded_fusion_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,guarded_fusion_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,common_before,guarded_fusion_gap10,42,37,42,37,88.0952380952381,88.0952380952381,11.332923832923832,11.818298147225622,-11.332923832923832,3.3984036868349055,-17.993795059120245,-4.6720526067274175,18.500000000000004,19.299999999999997,0,13,0.0,35.13513513513514,0.0,30.952380952380953
data1,fusion,offline_ridge,guarded_fusion_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,common_after,guarded_fusion_gap15,42,37,42,37,88.0952380952381,88.0952380952381,11.332923832923832,11.818298147225622,-11.332923832923832,3.3984036868349055,-17.993795059120245,-4.6720526067274175,18.500000000000004,19.299999999999997,0,13,0.0,35.13513513513514,0.0,30.952380952380953
data1,fusion,offline_ridge,guarded_fusion_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,added_after,guarded_fusion_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,guarded_fusion_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,37,0,0,lost_before,guarded_fusion_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,local_peak,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_before,trimmed_gap10,42,38,42,38,90.47619047619048,90.47619047619048,31.361004784689,42.81641050694739,3.1021531100478454,43.277115506143666,-81.72099328199373,87.92529950208943,82.06,83.8,0,12,0.0,31.57894736842105,0.0,28.571428571428573
data1,pos,local_peak,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_after,trimmed_gap15,42,38,42,38,90.47619047619048,90.47619047619048,31.361004784689,42.81641050694739,3.1021531100478454,43.277115506143666,-81.72099328199373,87.92529950208943,82.06,83.8,0,12,0.0,31.57894736842105,0.0,28.571428571428573
data1,pos,local_peak,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,added_after,trimmed_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,local_peak,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,lost_before,trimmed_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,offline_ridge,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_before,trimmed_gap10,42,38,42,38,90.47619047619048,90.47619047619048,11.371531100478471,11.840286192507646,-11.371531100478471,3.34286245260704,-17.92354150758827,-4.8195206933686725,18.475000000000005,19.299999999999997,0,17,0.0,44.73684210526316,0.0,40.476190476190474
data1,pos,offline_ridge,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_after,trimmed_gap15,42,38,42,38,90.47619047619048,90.47619047619048,11.371531100478471,11.840286192507646,-11.371531100478471,3.34286245260704,-17.92354150758827,-4.8195206933686725,18.475000000000005,19.299999999999997,0,17,0.0,44.73684210526316,0.0,40.476190476190474
data1,pos,offline_ridge,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,added_after,trimmed_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,offline_ridge,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,lost_before,trimmed_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,local_peak,trimmed_gap10,bounded_tracking_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,common_before,trimmed_gap10,42,38,42,38,90.47619047619048,90.47619047619048,31.361004784689,42.81641050694739,3.1021531100478454,43.277115506143666,-81.72099328199373,87.92529950208943,82.06,83.8,0,12,0.0,31.57894736842105,0.0,28.571428571428573
data1,pos,local_peak,trimmed_gap10,bounded_tracking_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,common_after,bounded_tracking_gap10,42,38,42,38,90.47619047619048,90.47619047619048,44.24952153110048,52.510190709201005,1.260047846889951,53.199733664779345,-103.01143013607756,105.53152582985746,84.275,85.1,0,9,0.0,23.68421052631579,0.0,21.428571428571427
data1,pos,local_peak,trimmed_gap10,bounded_tracking_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,added_after,bounded_tracking_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,local_peak,trimmed_gap10,bounded_tracking_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,lost_before,trimmed_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,offline_ridge,trimmed_gap10,bounded_tracking_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,common_before,trimmed_gap10,42,38,42,38,90.47619047619048,90.47619047619048,11.371531100478471,11.840286192507646,-11.371531100478471,3.34286245260704,-17.92354150758827,-4.8195206933686725,18.475000000000005,19.299999999999997,0,17,0.0,44.73684210526316,0.0,40.476190476190474
data1,pos,offline_ridge,trimmed_gap10,bounded_tracking_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,common_after,bounded_tracking_gap10,42,38,42,38,90.47619047619048,90.47619047619048,81.6547846889952,81.72723646954078,81.6547846889952,3.486724231256266,74.82080519573293,88.48876418225748,84.515,84.7,0,0,0.0,0.0,0.0,0.0
data1,pos,offline_ridge,trimmed_gap10,bounded_tracking_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,added_after,bounded_tracking_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,offline_ridge,trimmed_gap10,bounded_tracking_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,lost_before,trimmed_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,local_peak,trimmed_gap10,bounded_tracking_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_before,trimmed_gap10,42,38,42,38,90.47619047619048,90.47619047619048,31.361004784689,42.81641050694739,3.1021531100478454,43.277115506143666,-81.72099328199373,87.92529950208943,82.06,83.8,0,12,0.0,31.57894736842105,0.0,28.571428571428573
data1,pos,local_peak,trimmed_gap10,bounded_tracking_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_after,bounded_tracking_gap15,42,38,42,38,90.47619047619048,90.47619047619048,44.24952153110048,52.510190709201005,1.260047846889951,53.199733664779345,-103.01143013607756,105.53152582985746,84.275,85.1,0,9,0.0,23.68421052631579,0.0,21.428571428571427
data1,pos,local_peak,trimmed_gap10,bounded_tracking_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,added_after,bounded_tracking_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,local_peak,trimmed_gap10,bounded_tracking_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,lost_before,trimmed_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,offline_ridge,trimmed_gap10,bounded_tracking_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_before,trimmed_gap10,42,38,42,38,90.47619047619048,90.47619047619048,11.371531100478471,11.840286192507646,-11.371531100478471,3.34286245260704,-17.92354150758827,-4.8195206933686725,18.475000000000005,19.299999999999997,0,17,0.0,44.73684210526316,0.0,40.476190476190474
data1,pos,offline_ridge,trimmed_gap10,bounded_tracking_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_after,bounded_tracking_gap15,42,38,42,38,90.47619047619048,90.47619047619048,81.6547846889952,81.72723646954078,81.6547846889952,3.486724231256266,74.82080519573293,88.48876418225748,84.515,84.7,0,0,0.0,0.0,0.0,0.0
data1,pos,offline_ridge,trimmed_gap10,bounded_tracking_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,added_after,bounded_tracking_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,offline_ridge,trimmed_gap10,bounded_tracking_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,lost_before,trimmed_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,local_peak,trimmed_gap10,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,common_before,trimmed_gap10,42,38,42,38,90.47619047619048,90.47619047619048,31.361004784689,42.81641050694739,3.1021531100478454,43.277115506143666,-81.72099328199373,87.92529950208943,82.06,83.8,0,12,0.0,31.57894736842105,0.0,28.571428571428573
data1,pos,local_peak,trimmed_gap10,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,common_after,guarded_fusion_gap10,42,38,42,38,90.47619047619048,90.47619047619048,44.24952153110048,52.510190709201005,1.260047846889951,53.199733664779345,-103.01143013607756,105.53152582985746,84.275,85.1,0,9,0.0,23.68421052631579,0.0,21.428571428571427
data1,pos,local_peak,trimmed_gap10,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,added_after,guarded_fusion_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,local_peak,trimmed_gap10,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,lost_before,trimmed_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,offline_ridge,trimmed_gap10,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,common_before,trimmed_gap10,42,38,42,38,90.47619047619048,90.47619047619048,11.371531100478471,11.840286192507646,-11.371531100478471,3.34286245260704,-17.92354150758827,-4.8195206933686725,18.475000000000005,19.299999999999997,0,17,0.0,44.73684210526316,0.0,40.476190476190474
data1,pos,offline_ridge,trimmed_gap10,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,common_after,guarded_fusion_gap10,42,38,42,38,90.47619047619048,90.47619047619048,81.6547846889952,81.72723646954078,81.6547846889952,3.486724231256266,74.82080519573293,88.48876418225748,84.515,84.7,0,0,0.0,0.0,0.0,0.0
data1,pos,offline_ridge,trimmed_gap10,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,added_after,guarded_fusion_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,offline_ridge,trimmed_gap10,guarded_fusion_gap10,estimated_alignment_Polar_device_HR,-5,38,0,0,lost_before,trimmed_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,pos,local_peak,trimmed_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_before,trimmed_gap10,42,38,42,38,90.47619047619048,90.47619047619048,31.361004784689,42.81641050694739,3.1021531100478454,43.277115506143666,-81.72099328199373,87.92529950208943,82.06,83.8,0,12,0.0,31.57894736842105,0.0,28.571428571428573
data1,pos,local_peak,trimmed_gap10,guarded_fusion_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_after,guarded_fusion_gap15,42,38,42,38,90.47619047619048,90.47619047619048,44.24952153110048,52.510190709201005,1.260047846889951,53.199733664779345,-103.01143013607756,105.53152582985746,84.275,85.1,0,9,0.0,23.68421052631579,0.0,21.428571428571427
